EmbeddingModel,Classifier,Corpora,CvFold,Accuracy,F1scoreMacro,PrecisionMacro,RecallMacro,Support
FastText (CBOW),KNeighborsClassifier,Wzorcowy,2,0.5182753066534507,0.45522717790462974,0.4827583824285429,0.4444215565584728,8071.0
FastText (CBOW),KNeighborsClassifier,Pełny,2,0.4989468467352249,0.43915098999025665,0.46178884030330836,0.4296785521887711,8071.0
FastText (CBOW),DecisionTreeClassifier,Wzorcowy,2,0.4511212984760253,0.3910013959463597,0.3907021929294943,0.3914506798754864,8071.0
FastText (CBOW),DecisionTreeClassifier,Pełny,2,0.4488910915623838,0.39168826700340725,0.39213203215755726,0.39143638521288615,8071.0
FastText (CBOW),LogisticRegression,Wzorcowy,3,0.43563375046462643,0.31102827464570604,0.37399756096466213,0.32374615746124347,8071.0
FastText (CBOW),LogisticRegression,Pełny,3,0.438607359682815,0.31330976918889103,0.38471575708680156,0.32562346018570915,8071.0
FastText (CBOW),KNeighborsClassifier,Wzorcowy,3,0.5130714905216206,0.45096375664085153,0.4802347929139837,0.4402678540757092,8071.0
FastText (CBOW),KNeighborsClassifier,Pełny,3,0.5042745632511461,0.44163093886630883,0.47310819111086855,0.43070227370492303,8071.0
FastText (CBOW),DecisionTreeClassifier,Wzorcowy,3,0.4410853673646388,0.37807742520482424,0.37828033104481973,0.3780726232603208,8071.0
FastText (CBOW),DecisionTreeClassifier,Pełny,3,0.43835955891463263,0.3806530810402367,0.38158950684725795,0.37999797473829083,8071.0
FastText (CBOW),LogisticRegression,Wzorcowy,4,0.4301115241635688,0.3018537793646136,0.33375172476653225,0.31740872500187683,8070.0
FastText (CBOW),LogisticRegression,Pełny,4,0.4372986369268897,0.3102992496306275,0.3475530197416718,0.3251232565418078,8070.0
FastText (CBOW),KNeighborsClassifier,Wzorcowy,4,0.5219330855018587,0.46480188913575143,0.4906578670084342,0.4532703299886855,8070.0
FastText (CBOW),KNeighborsClassifier,Pełny,4,0.5023543990086741,0.439405310705203,0.4682329539904324,0.42904118962118143,8070.0
FastText (CBOW),DecisionTreeClassifier,Wzorcowy,4,0.44609665427509293,0.38678373029594565,0.387488674606099,0.3864024092036901,8070.0
FastText (CBOW),DecisionTreeClassifier,Pełny,4,0.44175960346964066,0.38535921410609664,0.3856944744596999,0.385238804055464,8070.0
FastText (CBOW),LogisticRegression,Wzorcowy,5,0.43667905824039654,0.3070946206406894,0.34481477234387775,0.3227448278305313,8070.0
FastText (CBOW),LogisticRegression,Pełny,5,0.4381660470879802,0.3134613292697286,0.3600528274034837,0.3266444761352801,8070.0
FastText (CBOW),KNeighborsClassifier,Wzorcowy,5,0.5203221809169765,0.45855697488695374,0.4843951787461418,0.4477044550260744,8070.0
FastText (CBOW),KNeighborsClassifier,Pełny,5,0.5022304832713754,0.43784787271649384,0.46012259304083686,0.42875114030467737,8070.0
FastText (CBOW),DecisionTreeClassifier,Wzorcowy,5,0.441635687732342,0.3811285606329479,0.38216757212082747,0.38037539627624817,8070.0
FastText (CBOW),DecisionTreeClassifier,Pełny,5,0.4382899628252788,0.38110183728813257,0.3812939601041196,0.38103277727122126,8070.0
